1	-297.86322370086685 -297.8725133615494 -297.88180329890486 -297.8910935128338 -297.86322370086685 -297.8725133615494 -297.88180329890486 -297.8910935128338 -297.8167795510323 -297.86322370086685 -297.8167795510323 -297.86322370086685 -297.1310723942083 -297.67931867761155 -297.1310723942083 -297.67931867761155
2	-302.5837390711782 -302.59292069173114 -302.6021026273322 -302.611284877871 -302.5837390711782 -302.59292069173114 -302.6021026273322 -302.611284877871 -302.5378356980039 -302.5837390711782 -302.5378356980039 -302.5837390711782 -301.85430127179296 -302.4563653187732 -301.85430127179296 -302.4563653187732
3	-301.8718753030341 -301.8801503699628 -301.8884260353901 -301.8967022991516 -301.8718753030341 -301.8801503699628 -301.8884260353901 -301.8967022991516 -301.83050895162376 -301.8718753030341 -301.83050895162376 -301.8718753030341 -301.1651936230511 -302.1110395460655 -301.1651936230511 -302.1110395460655
4	-304.07532465886936 -304.08440422612887 -304.0934841437865 -304.10256441172254 -304.07532465886936 -304.08440422612887 -304.0934841437865 -304.10256441172254 -304.02993208274364 -304.07532465886936 -304.02993208274364 -304.07532465886936 -303.3484497080872 -303.9981434137745 -303.3484497080872 -303.9981434137745
5	-295.30470595874107 -295.31333925459734 -295.32197304517865 -295.33060733033443 -295.30470595874107 -295.31333925459734 -295.32197304517865 -295.33060733033443 -295.2615469056146 -295.30470595874107 -295.2615469056146 -295.30470595874107 -294.58903485234777 -295.41787812060284 -294.58903485234777 -295.41787812060284
6	-299.13119662435764 -299.1395960209431 -299.1479959812297 -299.1563965050567 -299.13119662435764 -299.1395960209431 -299.1479959812297 -299.1563965050567 -299.0892081025737 -299.13119662435764 -299.0892081025737 -299.13119662435764 -298.4213953830851 -299.3289288907501 -298.4213953830851 -299.3289288907501
7	-301.57472885150275 -301.5834580111733 -301.59218763597397 -301.6009177257594 -301.57472885150275 -301.5834580111733 -301.59218763597397 -301.6009177257594 -301.531090035196 -301.57472885150275 -301.531090035196 -301.57472885150275 -300.8566514531078 -301.6504826096362 -300.8566514531078 -301.6504826096362
8	-301.4835267259549 -301.49307107230925 -301.50261560100165 -301.5121603119626 -301.4835267259549 -301.49307107230925 -301.50261560100165 -301.5121603119626 -301.4358077316874 -301.4835267259549 -301.4358077316874 -301.4835267259549 -300.7449781544293 -301.1490908261846 -300.7449781544293 -301.1490908261846
9	-302.62126060744805 -302.62966466663613 -302.6380692881952 -302.6464744719646 -302.62126060744805 -302.62966466663613 -302.6380692881952 -302.6464744719646 -302.5792487526928 -302.62126060744805 -302.5792487526928 -302.62126060744805 -301.91134236833784 -302.81739371395594 -301.91134236833784 -302.81739371395594
10	-299.980699862006 -299.9896492362875 -299.99859900479726 -300.00754916740476 -299.980699862006 -299.9896492362875 -299.99859900479726 -300.00754916740476 -299.9359589085947 -299.980699862006 -299.9359589085947 -299.980699862006 -299.2570940347309 -299.9635882529381 -299.2570940347309 -299.9635882529381
11	-303.65250753793043 -303.661466745588 -303.6704263442131 -303.6793863336758 -303.65250753793043 -303.661466745588 -303.6704263442131 -303.6793863336758 -303.6077173686993 -303.65250753793043 -303.6077173686993 -303.65250753793043 -302.92964881224714 -303.6580881101297 -302.92964881224714 -303.6580881101297
12	-301.41204444342094 -301.42100792048075 -301.42997178708976 -301.4389360431184 -301.41204444342094 -301.42100792048075 -301.42997178708976 -301.4389360431184 -301.36723290589254 -301.41204444342094 -301.36723290589254 -301.41204444342094 -300.68808449979423 -301.3886220872186 -300.68808449979423 -301.3886220872186
13	-305.7854315536179 -305.79417921448555 -305.80292733468303 -305.8116759140659 -305.7854315536179 -305.79417921448555 -305.80292733468303 -305.8116759140659 -305.7417001442815 -305.7854315536179 -305.7417001442815 -305.7854315536179 -305.066889736963 -305.85376568461686 -305.066889736963 -305.85376568461686
14	-302.2444601280245 -302.25369219268043 -302.2629245545888 -302.2721572136441 -302.2444601280245 -302.25369219268043 -302.2629245545888 -302.2721572136441 -302.19830426722575 -302.2444601280245 -302.19830426722575 -302.2444601280245 -301.5137636950775 -302.09167385444846 -301.5137636950775 -302.09167385444846
15	-303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -303.47159999999997 -302.97159999999997 -302.97159999999997 -302.97159999999997 -302.97159999999997
16	-300.39461016864914 -300.39461019096734 -300.39461021329487 -300.3946102356318 -300.39461016864914 -300.39461019096734 -300.39461021329487 -300.3946102356318 -300.3946100571985 -300.39461016864914 -300.3946100571985 -300.39461016864914 -299.89472310894644 -299.9006452051763 -299.89472310894644 -299.9006452051763
17	-301.6228380721921 -301.62384859386447 -301.6248594965427 -301.62587078035443 -301.6228380721921 -301.62384859386447 -301.6248594965427 -301.62587078035443 -301.6177911744599 -301.6228380721921 -301.6177911744599 -301.6228380721921 -301.1253606910349 -302.2458787654 -301.1253606910349 -302.2458787654
18	-301.84049862591195 -301.8409320726818 -301.84136569337323 -301.8417994880529 -301.84049862591195 -301.8409320726818 -301.84136569337323 -301.8417994880529 -301.83833399855575 -301.84049862591195 -301.83833399855575 -301.84049862591195 -301.3908935010923 -302.5289594964083 -301.3908935010923 -302.5289594964083
19	-301.7430715109362 -301.7430715821059 -301.7430716533055 -301.7430717245349 -301.7430715109362 -301.7430715821059 -301.7430716533055 -301.7430717245349 -301.743071155535 -301.7430715109362 -301.743071155535 -301.7430715109362 -301.2430697801867 -301.2433602086935 -301.2430697801867 -301.2433602086935
20	-306.53529166424045 -306.5368269289621 -306.53836273873685 -306.53989909372297 -306.53529166424045 -306.5368269289621 -306.53836273873685 -306.53989909372297 -306.5276235108851 -306.53529166424045 -306.5276235108851 -306.53529166424045 -306.0413704853994 -307.5034909250159 -306.0413704853994 -307.5034909250159
21	-305.3601829863632 -305.3601829863632 -305.36018298636327 -305.3601829863633 -305.3601829863632 -305.3601829863632 -305.36018298636327 -305.3601829863633 -305.36018298636304 -305.3601829863632 -305.36018298636304 -305.3601829863632 -304.971582489293 -306.05093119124734 -304.971582489293 -306.05093119124734
22	-306.3284680608214 -306.3290672051749 -306.3296665857708 -306.3302662026964 -306.3284680608214 -306.3290672051749 -306.3296665857708 -306.3302662026964 -306.32547587964115 -306.3284680608214 -306.32547587964115 -306.3284680608214 -305.81358867248485 -306.296983289131 -305.81358867248485 -306.296983289131
23	-296.9673717683228 -296.9681101420768 -296.9688488026578 -296.9695877501685 -296.9673717683228 -296.9681101420768 -296.9688488026578 -296.9695877501685 -296.9636841983721 -296.9673717683228 -296.9636841983721 -296.9673717683228 -296.4490053439717 -297.0042049219944 -296.4490053439717 -297.0042049219944
