ind	center	radius	population	population-rel	population-accum
9	164	4.59570	1946	0.16017779241089802	0.16017779241089802
2	101	4.78772	1844	0.15178203967404724	0.31195983208494527
10	6776	4.63341	1584	0.13038110132521194	0.44234093341015723
5	692	4.94366	1460	0.12017449995884436	0.5625154333690016
6	2234	5.16889	1457	0.11992756605481933	0.6824429994238209
1	10219	4.94624	1284	0.10568771092270969	0.7881307103465306
8	11804	5.89749	781	0.06428512634784755	0.8524158366943781
4	8729	5.28349	678	0.05580706230965512	0.9082228990040333
3	10330	5.53108	672	0.05531319450160507	0.9635360935056383
7	4996	7.70848	443	0.036463906494361674	1.0
